!----------------------------------------------------------------------
! TRANSPORT PROPERTIES
!----------------------------------------------------------------------
TRANSPORT
! Species   Geom  eps/k     sigma     dipole    polar     Z_rot
BCL3       2     337.70    5.127     0.000     0.000     1.0
BCL2NH2    2     337.70    5.127     0.000     0.000     1.0
BCL(NH2)2  2     337.70    5.127     0.000     0.000     1.0
B(NH2)3    2     337.70    5.127     0.000     0.000     1.0
BCL2       1     682.000   4.222     0.000     0.000     1.0
BCL        1     682.000   4.222     0.000     0.000     1.0
NH3        2     558.300   2.900     1.470     0.000     1.0
HCL        1     344.700   3.339     1.100     0.000     1.0
H          0     37.000    2.708     0.000     0.000     1.0
CL         0     130.800   3.613     0.000     0.000     1.0
CL2        1     316.000   4.217     0.000     0.000     1.0
H2         1     59.700    2.827     0.000     0.787     1.0
END
