!----------------------------------------------------------------------
! TRANSPORT PROPERTIES
!----------------------------------------------------------------------
TRANSPORT
! Species       Geom  eps/k     sigma     dipole    polar     Z_rot
SIH4            2     207.600   4.084     0.000     0.000     1.000
SIH2            2     133.100   3.803     0.000     0.000     1.000
H2              1     38.000    2.920     0.000     0.000     1.000
SI2H6           2     301.300   4.828     0.000     0.000     1.000
SI_G            0     207.600   4.084     0.000     0.000     1.000
H               0     145.000   2.050     0.000     0.000     1.000
C3H8            2     266.800   4.982     0.000     0.000     1.000
CH3             2     144.000   3.800     0.000     0.000     1.000
C2H5            2     252.300   4.302     0.000     0.000     1.000
CH4             2     148.600   3.758     0.000     0.000     1.000
C2H6            2     215.700   4.443     0.000     0.000     1.000
C2H4            2     224.700   4.163     0.000     0.000     1.000
C2H2            1     231.800   4.033     0.000     0.000     1.000
H3SICH3         2     207.600   4.084     0.000     0.000     1.000
HSICH3          2     207.600   4.084     0.000     0.000     1.000
SI2             1     3036.000  3.280     0.000     0.000     1.000
SI2C            2     519.000   3.500     0.000     0.000     1.000
SICH2           2     519.000   4.230     0.000     0.000     1.000
CH2             2     144.000   3.800     0.000     0.000     1.000
N2              1     97.530    3.621     0.000     0.000     1.000
CL2             1     316.000   4.217     0.000     0.000     1.000
CL              1     56.000    2.750     0.000     0.000     0.000
HCL             1     117.000   3.340     0.000     2.630     2.000
SICL4           1     350.000   5.200     0.000     11.500    1.000
SIHCL3          1     330.000   5.000     1.200     9.500     1.000
END
